Cluster 0,Cluster 1,Cluster 2,Cluster 3
43.05,19.4,53.5,29.3
42.45,18.950000000000003,52.75,28.9
41.650000000000006,18.25,52.25,28.4
40.9,17.85,51.6,27.9
40.3,17.55,51.05,27.6
39.849999999999994,17.5,50.7,27.3
39.2,17.1,50.349999999999994,26.9
38.75,16.700000000000003,50.05,26.6
38.4,16.4,49.8,26.4
38.1,16.05,49.55,26.2
38.6,16.200000000000003,50.150000000000006,26.5
41.45,17.85,53.5,28.3
44.95,19.95,56.95,30.9
48.05,22.3,59.900000000000006,32.9
50.650000000000006,24.15,62.05,34.9
52.75,25.549999999999997,63.5,36.0
53.95,26.6,65.0,36.7
54.3,27.0,65.69999999999999,36.8
53.95,26.25,65.9,36.4
52.4,24.3,64.35,34.9
48.95,22.299999999999997,61.0,33.1
46.650000000000006,21.4,57.5,31.7
45.25,20.549999999999997,55.5,30.6
44.05,19.85,54.55,29.9
42.9,19.5,53.45,29.3
42.2,19.05,52.7,28.8
41.45,18.3,52.150000000000006,28.4
40.8,17.95,51.5,27.9
40.150000000000006,17.799999999999997,50.849999999999994,27.5
39.5,17.6,50.349999999999994,27.3
38.95,17.15,50.05,26.9
38.5,16.9,49.7,26.6
38.150000000000006,16.5,49.45,26.4
37.8,16.2,49.2,26.1
38.349999999999994,16.3,50.05,26.4
41.5,17.9,53.55,28.2
44.849999999999994,20.05,56.9,30.8
47.95,22.4,59.85,32.8
50.7,24.1,62.25,34.8
52.7,25.65,63.8,35.9
53.849999999999994,26.7,65.30000000000001,36.6
54.25,26.950000000000003,65.75,36.7
54.1,26.35,66.05,36.2
52.6,24.4,64.5,34.9
48.95,22.4,61.05,32.9
46.6,21.0,57.55,31.6
45.05,20.25,55.75,30.6
43.849999999999994,19.65,54.8,29.8
42.95,19.299999999999997,53.5,29.0
41.95,18.8,52.849999999999994,28.4
41.25,18.25,51.95,28.1
40.6,18.0,51.400000000000006,27.6
39.95,17.75,50.75,27.2
39.349999999999994,17.5,50.150000000000006,26.9
38.75,17.15,49.849999999999994,26.4
38.25,16.9,49.5,26.2
37.8,16.5,49.3,25.9
37.6,16.45,49.15,25.8
38.05,16.4,50.2,26.1
41.3,17.9,53.55,28.1
44.7,20.25,57.0,30.6
48.05,22.65,59.9,32.8
50.8,24.4,62.349999999999994,34.4
52.8,25.9,63.8,35.5
53.650000000000006,26.85,65.30000000000001,36.2
54.25,26.8,65.9,36.4
54.150000000000006,26.1,66.1,36.1
52.45,24.4,64.4,34.6
48.9,22.4,61.099999999999994,32.7
46.55,21.05,57.650000000000006,31.4
44.8,20.15,55.9,30.5
43.8,19.65,54.95,29.6
42.8,19.2,53.75,28.9
41.8,18.6,52.849999999999994,28.4
41.1,18.15,52.0,27.9
40.55,17.9,51.5,27.5
39.849999999999994,17.700000000000003,50.85,27.0
39.2,17.549999999999997,50.25,26.6
38.7,17.200000000000003,49.9,26.2
38.1,16.85,49.650000000000006,26.0
37.7,16.5,49.45,25.7
37.2,16.0,49.2,25.6
37.9,16.5,50.25,25.7
41.4,17.75,53.75,28.2
44.8,20.45,57.2,30.5
48.1,22.95,60.05,32.7
50.75,24.7,62.5,34.2
52.45,26.1,63.95,35.4
53.55,27.15,65.45,36.0
54.55,27.3,66.0,36.4
54.35,26.6,66.05000000000001,36.0
52.8,24.65,64.4,34.5
49.0,22.65,61.150000000000006,32.9
46.4,21.2,57.849999999999994,31.6
44.7,20.25,56.1,30.5
43.8,19.6,55.0,29.7
42.9,19.05,53.9,29.1
41.9,18.65,52.8,28.6
41.1,18.25,52.05,28.1
40.55,17.85,51.5,27.6
39.85,17.65,51.0,27.2
39.1,17.5,50.349999999999994,26.8
38.55,17.2,50.0,26.5
38.25,16.7,49.7,26.1
37.849999999999994,16.3,49.5,25.8
37.349999999999994,16.1,49.25,25.6
37.9,16.65,50.349999999999994,25.9
41.4,17.9,53.9,28.4
45.05,20.5,57.45,30.8
48.349999999999994,23.0,60.25,32.8
50.75,24.700000000000003,62.6,34.3
52.45,26.1,64.0,35.4
53.849999999999994,27.15,65.6,36.1
54.75,27.3,66.35,36.5
54.7,26.6,66.15,36.0
53.150000000000006,24.9,64.55,34.7
49.25,22.7,61.55,32.9
46.4,21.4,58.150000000000006,31.8
44.849999999999994,20.45,56.4,30.7
44.0,19.85,55.099999999999994,29.8
42.95,19.2,54.05,29.2
42.05,18.8,52.95,28.8
41.3,18.45,52.3,28.3
40.55,18.0,51.7,27.8
39.9,17.8,51.15,27.2
39.2,17.5,50.55,26.7
38.6,17.1,50.2,26.4
38.150000000000006,16.8,49.95,26.2
37.849999999999994,16.45,49.75,25.8
37.5,16.200000000000003,49.45,25.6
37.95,16.75,50.4,26.0
41.55,17.9,54.05,28.4
45.150000000000006,20.55,57.5,30.8
48.4,23.2,60.35,32.9
50.8,24.75,62.65,34.4
52.6,26.299999999999997,64.25,35.5
54.150000000000006,27.3,65.9,36.2
54.9,27.4,66.55,36.4
54.85,26.75,66.30000000000001,36.0
