Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
64.1,39.0,24.3,57.3,57.7,50.55,32.349999999999994,15.35,69.7
60.2,36.6,22.85,53.9,54.7,47.4,30.65,14.600000000000001,66.05
56.6,35.5,21.7,51.7,52.6,45.05,29.7,14.15,63.55
54.3,34.4,21.200000000000003,50.2,51.6,43.75,28.950000000000003,13.7,62.45
52.7,33.5,20.200000000000003,49.0,50.4,42.7,28.25,13.45,61.849999999999994
51.0,32.8,19.75,48.2,49.4,41.8,27.7,12.85,61.15
49.7,32.3,19.25,47.4,48.6,41.0,27.3,12.45,60.3
48.5,31.8,18.6,46.9,47.8,40.25,26.7,12.1,59.75
47.9,31.2,18.25,46.4,47.0,39.7,26.4,11.95,58.95
47.2,30.8,17.9,45.8,46.5,39.150000000000006,26.2,11.9,58.45
46.1,30.3,17.55,45.2,46.1,38.6,25.85,11.45,57.85
45.8,29.9,17.4,44.6,45.7,38.150000000000006,25.6,11.25,57.55
45.1,29.5,16.9,44.1,45.3,37.7,25.25,11.0,57.1
44.4,29.3,16.6,43.9,45.2,37.349999999999994,24.95,11.0,56.8
44.1,29.1,16.4,43.6,45.2,37.05,24.7,10.899999999999999,56.650000000000006
45.9,29.5,16.6,44.0,45.9,37.3,25.05,11.05,57.3
50.1,31.5,18.5,47.4,51.8,40.349999999999994,26.9,11.7,61.150000000000006
54.6,34.3,20.75,51.0,56.8,43.25,28.9,11.75,64.95
57.8,36.4,22.8,54.3,60.4,46.849999999999994,30.6,12.1,68.1
60.6,38.2,24.55,56.7,61.9,49.2,32.349999999999994,13.45,70.4
63.2,39.6,25.4,58.4,61.9,50.95,33.5,15.399999999999999,71.65
64.4,40.5,26.85,59.3,61.6,52.150000000000006,34.3,16.65,72.15
65.4,41.0,27.4,59.6,61.4,52.75,34.6,16.950000000000003,72.1
65.8,40.6,26.75,59.1,60.6,52.349999999999994,34.2,16.4,71.44999999999999
64.4,39.0,24.5,57.4,57.9,51.1,32.5,15.7,69.75
60.5,36.7,22.9,54.1,54.8,47.75,30.8,14.95,66.15
56.9,35.7,21.799999999999997,51.9,52.7,45.1,29.8,14.450000000000001,63.55
54.6,34.6,21.1,50.2,51.6,43.8,28.9,14.0,62.55
52.8,33.8,20.4,48.9,50.4,42.8,28.35,13.65,61.95
51.2,32.9,19.85,48.1,49.5,41.849999999999994,27.85,13.1,61.2
49.9,32.5,19.45,47.3,48.6,41.2,27.45,12.7,60.349999999999994
48.7,31.9,18.75,46.8,47.8,40.5,27.0,12.3,59.8
48.3,31.3,18.45,46.3,47.0,39.849999999999994,26.55,12.2,59.05
47.4,30.9,18.1,45.7,46.5,39.2,26.2,12.149999999999999,58.45
46.3,30.4,17.65,45.2,46.0,38.8,25.8,11.8,57.85
46.0,30.0,17.299999999999997,44.7,45.7,38.3,25.55,11.5,57.5
45.2,29.7,16.9,44.2,45.3,37.9,25.2,11.350000000000001,57.05
44.5,29.4,16.5,43.8,45.2,37.6,25.0,11.3,56.7
44.1,29.2,16.35,43.5,45.2,37.3,24.7,11.2,56.55
46.0,29.4,16.549999999999997,44.1,45.9,37.3,25.2,11.3,57.3
50.2,31.6,18.45,47.6,51.7,40.4,26.8,12.1,61.1
54.7,34.3,20.75,51.1,56.8,43.4,28.8,12.1,64.95
57.9,36.4,22.65,54.5,60.3,46.95,30.5,12.55,68.1
60.7,38.3,24.2,56.8,61.9,49.25,32.25,13.9,70.4
63.3,39.6,25.45,58.5,61.8,51.1,33.5,15.899999999999999,71.65
64.5,40.5,26.85,59.4,61.6,52.25,34.2,17.15,72.15
65.4,41.0,27.6,59.7,61.5,52.8,34.45,17.4,72.1
65.8,40.6,26.95,59.4,60.6,52.55,34.2,16.9,71.44999999999999
64.4,39.1,24.65,57.3,57.9,51.2,32.6,16.2,69.75
60.5,36.7,22.6,54.4,54.8,47.8,30.6,15.55,66.4
57.1,35.6,21.7,51.9,52.7,45.349999999999994,29.9,15.05,63.55
54.7,34.5,20.950000000000003,50.3,51.7,43.95,29.049999999999997,14.6,62.5
52.9,33.8,20.25,49.0,50.5,42.9,28.1,14.0,61.849999999999994
51.3,32.8,19.8,48.3,49.5,41.9,27.7,13.350000000000001,61.099999999999994
50.1,32.4,19.3,47.5,48.6,41.3,27.3,13.0,60.3
48.9,31.7,18.75,46.8,47.8,40.6,26.8,12.65,59.7
48.3,31.3,18.450000000000003,46.3,47.1,39.95,26.3,12.5,59.0
47.5,30.8,18.1,45.8,46.6,39.4,26.0,12.4,58.5
46.5,30.4,17.75,45.2,46.2,38.9,25.7,12.0,57.85
46.0,30.0,17.299999999999997,44.7,45.8,38.45,25.5,11.75,57.45
45.3,29.7,16.85,44.3,45.5,38.05,25.15,11.55,57.05
44.5,29.4,16.6,43.8,45.4,37.650000000000006,24.85,11.45,56.7
44.2,29.1,16.15,43.5,45.4,37.3,24.6,11.3,56.55
46.1,29.3,16.25,44.2,46.1,37.5,24.75,11.399999999999999,57.4
50.2,31.7,18.1,47.8,51.6,40.3,26.5,12.45,61.150000000000006
54.7,34.3,20.45,51.2,56.7,43.4,28.8,12.55,65.1
57.9,36.3,22.45,54.6,60.3,47.0,30.35,12.95,68.2
60.8,38.1,23.95,57.1,61.8,49.2,32.150000000000006,14.3,70.5
63.5,39.4,25.6,58.7,61.7,51.05,33.4,16.3,71.75
64.7,40.3,26.9,59.6,61.6,52.25,34.15,17.5,72.2
65.6,40.9,27.4,59.8,61.6,52.75,34.349999999999994,17.9,72.2
65.9,40.5,26.799999999999997,59.5,60.8,52.4,34.1,17.4,71.55000000000001
64.4,39.0,24.7,57.5,58.0,51.0,32.6,16.6,70.05000000000001
60.5,36.5,22.45,54.6,55.0,47.849999999999994,30.55,15.9,66.6
57.3,35.5,21.55,52.2,52.9,45.45,29.75,15.35,63.75
54.8,34.4,20.7,50.6,51.8,43.95,28.85,14.8,62.65
53.0,33.6,20.1,49.4,50.5,42.95,28.1,14.149999999999999,61.95
51.5,32.8,19.75,48.6,49.4,42.0,27.6,13.55,61.25
50.2,32.3,19.299999999999997,47.6,48.7,41.3,27.15,13.2,60.4
49.1,31.5,18.6,47.0,47.6,40.6,26.7,12.9,59.85
48.4,31.1,18.3,46.6,47.1,40.0,26.25,12.75,59.2
47.7,30.8,18.05,46.1,46.6,39.45,25.9,12.65,58.7
