Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
43.8,25.25,43.2,18.05,8.55,28.0,57.0,46.25,35.5
43.25,24.95,42.849999999999994,17.799999999999997,8.55,27.9,56.7,46.05,35.150000000000006
42.95,24.75,42.6,17.55,8.600000000000001,27.7,56.5,45.8,34.849999999999994
45.2,25.05,43.25,17.7,8.55,27.8,57.6,47.25,35.3
49.3,27.7,46.7,19.95,8.5,29.6,61.1,52.65,38.25
53.8,30.5,49.650000000000006,22.4,10.05,31.3,64.6,58.7,41.4
57.25,33.3,52.4,24.9,11.95,33.2,67.9,60.7,44.0
60.05,35.35,54.8,26.75,13.399999999999999,34.8,70.3,62.95,46.25
62.45,37.1,56.5,28.1,15.05,35.9,71.1,63.75,47.95
63.8,38.55,57.55,28.8,16.25,36.7,71.3,63.349999999999994,49.400000000000006
64.9,39.05,58.05,28.95,16.5,36.7,70.8,62.9,49.8
65.05,38.3,57.849999999999994,28.2,16.0,35.9,70.1,61.65,49.4
62.75,36.150000000000006,55.9,26.1,15.2,34.5,68.7,58.5,47.8
58.8,33.25,52.9,24.5,13.7,33.3,65.4,55.5,44.95
56.05,31.55,50.45,23.299999999999997,12.25,32.4,63.3,53.0,42.9
53.85,30.35,48.95,22.4,11.0,31.6,62.2,51.7,41.4
51.7,29.25,47.8,21.55,10.35,31.0,61.4,50.5,40.4
50.25,28.7,47.2,20.799999999999997,9.7,30.6,60.8,49.5,39.6
48.95,28.15,46.25,20.35,9.3,29.9,60.3,48.75,38.8
47.7,27.55,45.45,19.9,9.0,29.5,59.6,48.099999999999994,38.1
46.7,27.05,44.8,19.5,9.05,29.2,59.0,47.75,37.349999999999994
45.55,26.7,44.3,19.2,9.0,28.9,58.3,47.45,36.8
44.849999999999994,26.3,43.849999999999994,18.8,8.7,28.6,57.8,47.0,36.25
44.55,25.85,43.4,18.4,8.6,28.2,57.3,46.599999999999994,35.8
43.9,25.5,43.1,18.2,8.6,28.2,56.9,46.400000000000006,35.4
43.3,25.2,42.75,18.05,8.6,27.9,56.5,46.099999999999994,35.150000000000006
43.0,25.0,42.45,17.8,8.5,27.5,56.4,45.85,34.8
45.2,25.3,43.25,17.75,8.5,27.7,57.6,47.35,35.4
49.349999999999994,27.9,46.650000000000006,19.85,8.4,29.4,61.1,52.8,38.25
53.95,30.65,49.6,22.35,10.149999999999999,31.4,64.5,58.85,41.5
57.35,33.349999999999994,52.349999999999994,24.8,12.0,33.3,67.8,60.9,44.150000000000006
60.2,35.5,54.849999999999994,26.700000000000003,13.4,34.7,70.2,63.15,46.349999999999994
62.55,37.150000000000006,56.45,27.95,15.100000000000001,35.6,71.2,64.0,48.150000000000006
63.9,38.6,57.650000000000006,28.85,16.35,36.4,71.4,63.55,49.55
64.9,39.05,58.150000000000006,29.0,16.7,36.4,70.9,63.0,50.05
65.19999999999999,38.4,57.849999999999994,28.2,16.1,35.7,70.2,61.75,49.5
62.85,36.3,55.95,26.2,15.3,34.4,68.6,58.599999999999994,47.9
59.05,33.45,52.9,24.45,13.85,33.2,65.5,55.6,45.0
56.2,31.75,50.6,23.25,12.45,32.3,63.2,53.099999999999994,43.150000000000006
53.95,30.4,49.05,22.5,11.15,31.6,62.0,51.8,41.6
51.75,29.3,47.849999999999994,21.65,10.45,31.0,61.2,50.6,40.6
50.35,28.85,47.150000000000006,20.9,9.75,30.6,60.6,49.5,39.8
49.15,28.3,46.35,20.45,9.4,30.0,60.0,48.85,39.0
47.95,27.7,45.55,20.0,9.0,29.7,59.5,48.25,38.349999999999994
46.9,27.25,44.9,19.65,8.899999999999999,29.4,58.8,47.85,37.55
45.7,26.85,44.3,19.25,8.95,29.1,58.1,47.55,37.1
45.1,26.4,43.849999999999994,18.95,8.6,28.8,57.5,47.2,36.6
44.75,26.05,43.4,18.6,8.55,28.4,57.1,46.85,35.95
44.1,25.7,43.1,18.3,8.5,28.2,56.6,46.599999999999994,35.6
43.45,25.3,42.75,18.05,8.45,28.0,56.2,46.25,35.25
43.1,25.15,42.5,17.7,8.45,27.8,56.1,46.0,35.0
45.25,25.45,43.2,17.9,8.399999999999999,27.7,57.3,47.45,35.4
49.4,28.1,46.7,19.799999999999997,8.3,29.6,60.9,52.95,38.25
53.95,30.85,49.75,22.5,10.3,31.5,64.3,59.0,41.55
57.45,33.45,52.6,25.1,11.95,33.1,67.8,60.95,44.2
60.349999999999994,35.7,55.05,26.9,13.350000000000001,34.7,70.1,63.2,46.45
62.8,37.4,56.7,28.05,15.149999999999999,35.8,71.2,64.1,48.25
64.15,38.8,57.9,28.85,16.4,36.5,71.5,63.7,49.55
65.19999999999999,39.2,58.4,29.1,16.7,36.6,71.0,63.25,50.2
65.44999999999999,38.7,58.0,28.35,16.15,35.9,70.2,61.9,49.6
63.15,36.45,56.1,26.35,15.35,34.6,68.7,58.85,48.0
59.349999999999994,33.7,53.05,24.75,13.95,33.4,65.5,55.7,45.25
56.45,31.9,50.65,23.55,12.65,32.4,63.2,53.099999999999994,43.3
54.15,30.6,49.2,22.6,11.3,31.8,62.0,51.9,41.6
51.95,29.6,48.05,21.85,10.7,31.2,61.1,50.6,40.650000000000006
50.5,29.1,47.2,21.15,9.95,30.7,60.3,49.6,39.9
49.400000000000006,28.6,46.55,20.549999999999997,9.7,30.1,59.7,48.95,39.0
48.05,27.9,45.75,20.1,9.25,29.8,59.2,48.400000000000006,38.4
47.05,27.55,45.0,19.85,8.95,29.4,58.5,47.95,37.6
45.95,27.1,44.4,19.35,8.85,29.2,57.9,47.65,37.1
45.25,26.7,44.0,19.049999999999997,8.45,28.8,57.3,47.4,36.6
45.05,26.3,43.5,18.6,8.5,28.5,56.8,46.95,35.95
44.3,25.95,43.2,18.200000000000003,8.35,28.3,56.5,46.75,35.55
43.6,25.55,42.8,18.0,8.4,28.0,56.1,46.35,35.2
43.25,25.5,42.6,17.8,8.35,27.9,55.9,46.0,34.95
45.45,25.65,43.2,17.950000000000003,8.35,28.0,57.1,47.55,35.45
49.55,28.4,46.7,19.85,8.5,29.5,60.9,53.05,38.3
54.150000000000006,31.1,49.849999999999994,22.65,10.5,31.3,64.3,59.099999999999994,41.8
57.65,33.8,52.8,25.3,12.1,33.3,67.8,61.1,44.45
60.55,35.8,55.2,27.05,13.45,34.6,70.1,63.400000000000006,46.55
63.0,37.6,56.849999999999994,28.15,15.399999999999999,35.8,71.3,64.15,48.5
64.30000000000001,39.0,58.1,29.049999999999997,16.65,36.6,71.5,63.9,49.75
65.30000000000001,39.4,58.650000000000006,29.1,16.950000000000003,36.6,71.0,63.35,50.349999999999994
65.6,38.849999999999994,58.150000000000006,28.45,16.4,35.9,70.3,61.95,49.8
63.3,36.8,56.349999999999994,26.45,15.7,34.6,68.8,58.95,48.3
59.6,33.9,53.25,24.9,14.25,33.3,65.6,55.8,45.55
56.55,32.150000000000006,50.7,23.75,12.9,32.4,63.3,53.25,43.45
54.349999999999994,30.9,49.2,22.6,11.649999999999999,31.8,62.1,52.0,41.849999999999994
52.2,29.8,48.2,21.85,11.0,31.2,61.2,50.7,40.7
